N,P,K,ph,ec,organic_carbon,S,Zn,Fe,Cu,Mn,B,fertility_score,soil_quality_index,fertility_grade
0.281524926686217,0.45059288537549397,0.6091772151898733,0.4698275862068968,0.611764705882353,0.4528301886792453,0.36388792805257697,0.2255639097744361,0.008055583526331688,0.3253588516746412,0.4438709677419355,0.048899755501222504,0.43644355336212204,0.41589865757807615,0
0.501466275659824,0.3636363636363636,0.2579113924050633,0.6077586206896557,0.7647058823529411,0.7245283018867925,0.9999999999999999,0.3157894736842105,0.05236129292115598,0.6937799043062202,0.14348387096774196,1.0,0.25371684145589135,0.2616940251791057,0
0.3548387096774194,0.5296442687747034,0.8591772151898736,0.5818965517241379,0.48235294117647054,0.7622641509433964,0.9450017295053614,0.3157894736842105,0.05236129292115598,0.7081339712918662,0.13367741935483873,1.0,0.6634639111659469,0.6351284458973825,0
0.33724340175953077,0.30830039525691694,0.4746835443037975,0.625,0.5647058823529412,0.6339622641509435,0.9999999999999999,0.37593984962406024,0.026583425636894573,0.6889952153110048,0.1310967741935484,1.0,0.3527914867365822,0.3417339036887623,0
0.6686217008797654,0.5533596837944663,0.42563291139240506,0.6163793103448283,0.35294117647058826,0.5735849056603775,0.7720511933586994,0.2406015037593985,0.04430570939482429,0.7655502392344499,0.11974193548387099,1.0,0.45778840222085126,0.4665536389140063,1
0.5219941348973607,0.45059288537549397,0.42563291139240506,0.4439655172413799,0.6470588235294118,0.4679245283018868,0.7651331719128328,0.42105263157894746,0.036250125868492605,0.38755980861244027,0.10735483870967741,1.0,0.394494139420111,0.395518884329137,0
0.5219941348973607,0.33992094861660077,0.07436708860759494,0.6077586206896557,0.388235294117647,0.5358490566037737,0.46765824974057424,0.37593984962406024,0.0386668009263921,0.4593301435406699,0.09754838709677419,1.0,0.11886181369524984,0.13649405300132172,0
0.4838709677419355,0.32411067193675885,0.3575949367088607,0.6163793103448283,0.5764705882352941,0.44528301886792454,0.48149429263230714,0.3458646616541353,0.03786124257375894,0.25358851674641153,0.11974193548387099,1.0,0.3234268969771745,0.3256248406018873,0
0.7243401759530792,0.45059288537549397,0.6091772151898733,0.5732758620689662,0.4,0.43018867924528315,0.4607402282947076,0.81203007518797,0.036250125868492605,0.40669856459330145,0.11974193548387099,1.0,0.6227483035163478,0.6258868331362595,1
0.281524926686217,0.41106719367588923,0.8924050632911393,0.5474137931034484,0.27058823529411763,0.5132075471698114,0.5783465928744379,0.9022556390977444,0.016111167052663376,0.507177033492823,0.13625806451612904,1.0,0.6566779765576803,0.622821752335907,0
0.3196480938416422,0.41106719367588923,0.5917721518987342,0.5818965517241379,0.4117647058823529,0.6566037735849057,0.6198547215496367,0.9323308270676692,0.013694491994763872,0.5933014354066987,0.13832258064516129,1.0,0.43829426280074024,0.42071653798891756,1
0.2991202346041056,0.33992094861660077,0.20727848101265822,0.5301724137931041,0.7411764705882353,0.5962264150943397,0.5921826357661708,0.81203007518797,0.020944517168462386,0.4497607655502393,0.13832258064516129,1.0,0.12873226403454663,0.12822621780158144,0
0.281524926686217,0.18972332015810273,0.42563291139240506,0.6594827586206895,0.5882352941176471,0.5132075471698114,0.6267727429955032,0.962406015037594,0.01208337528949753,0.5885167464114833,0.1656774193548387,1.0,0.28925046267735954,0.27753414017759864,2
0.2991202346041056,0.42687747035573126,0.5917721518987342,0.4612068965517251,0.5058823529411764,0.5358490566037737,0.6613628502248357,0.6315789473684211,0.028194542342160914,0.5598086124401914,0.144,1.0,0.429904380012338,0.411201340103406,0
0.46627565982404695,0.3794466403162055,0.7927215189873418,0.4094827586206895,0.788235294117647,0.4679245283018868,0.6267727429955032,0.736842105263158,0.020944517168462386,0.44497607655502397,0.1889032258064516,1.0,0.6561844540407157,0.6370110825160558,1
0.4105571847507331,0.4980237154150196,0.8591772151898736,0.4784482758620694,0.2823529411764706,0.43018867924528315,0.6890349360083016,0.9999999999999999,0.016111167052663376,0.5693779904306221,0.1512258064516129,1.0,0.6864127082048118,0.6609474623820455,0
0.5747800586510264,0.3636363636363636,0.9430379746835444,0.4008620689655178,0.9176470588235295,0.49056603773584917,0.7167070217917675,0.5563909774436091,0.013694491994763872,0.5119617224880383,0.14709677419354839,1.0,0.8188001233806291,0.7983984836892255,0
0.6686217008797654,0.41106719367588923,0.759493670886076,0.4612068965517251,0.5294117647058824,0.43018867924528315,0.6613628502248357,0.2857142857142858,0.01852784211056288,0.5598086124401914,0.3943225806451613,1.0,0.7159006785934608,0.7090659850223737,1
0.501466275659824,0.2529644268774703,0.9936708860759493,0.4008620689655178,0.8,0.3849056603773585,0.6821169145624351,0.3157894736842105,0.022555633873728727,0.27272727272727276,0.39380645161290323,1.0,0.8257094386181368,0.7990291205861213,0
0.5953079178885631,0.41106719367588923,0.6091772151898733,0.3405172413793105,0.6235294117647059,0.5132075471698114,0.7582151504669664,0.3007518796992481,0.017722283757929717,0.2296650717703349,0.39329032258064517,0.6650366748166259,0.5678439235040099,0.56427453571677,0
0.7038123167155426,0.42687747035573126,0.4414556962025316,0.4439655172413799,0.611764705882353,0.49056603773584917,0.7167070217917675,0.3458646616541353,0.023361192226361897,0.34449760765550247,0.25187096774193546,1.0,0.4829580505860579,0.49302647747559775,1
0.501466275659824,0.42687747035573126,0.7927215189873418,0.3836206896551735,0.48235294117647054,0.44528301886792454,0.9999999999999999,0.2857142857142858,0.05800020138958816,0.45454545454545464,0.10632258064516129,1.0,0.6717304133251077,0.6543999675407479,0
0.4838709677419355,0.5138339920948616,0.0,0.6077586206896557,0.6823529411764706,0.49056603773584917,0.9999999999999999,0.2857142857142858,0.04108347598429161,0.45454545454545464,0.11974193548387099,0.8606356968215159,0.0,0.010802555006839853,0
