N,P,K,temperature,humidity,ph,rainfall,fertility_score,crop
0.6428571428571428,0.3008130081300813,0.44705882352941173,0.293398429522877,0.7869774139917612,0.5156704423648941,0.9528494843581728,0.5429553264604812,20
0.6071428571428571,0.4308943089430895,0.4235294117647059,0.33227644246075505,0.7670354973936142,0.6532681407783885,1.0,0.5738831615120276,20
0.42857142857142855,0.40650406504065045,0.45882352941176463,0.3861379006241892,0.7907454023635724,0.8595217655066143,1.0,0.48797250859106533,20
0.5285714285714286,0.2439024390243903,0.4117647058823529,0.5383224632073838,0.7651245825705664,0.6384324133669692,1.0,0.45360824742268047,20
0.5571428571428572,0.3008130081300813,0.43529411764705883,0.26068128486250897,0.7822633050435138,0.8050767211487291,1.0,0.4982817869415809,20
0.4928571428571428,0.2601626016260163,0.43529411764705883,0.3884769754408839,0.8031784986961367,0.6623598259322214,1.0,0.450171821305842,20
0.4928571428571428,0.40650406504065045,0.388235294117647,0.37323464288151875,0.794520883260293,0.3093991190456038,1.0,0.4982817869415809,20
0.6714285714285714,0.39024390243902446,0.4117647058823529,0.2671223603145023,0.7975383226974901,0.3139817136678065,1.0,0.5841924398625431,20
0.6357142857142857,0.39837398373983746,0.388235294117647,0.452108349565129,0.8051346402322375,0.5625625242090828,1.0,0.5635738831615121,20
0.4857142857142857,0.4308943089430895,0.388235294117647,0.39571926748447694,0.7991869070872225,0.4727972731843568,1.0,0.5051546391752578,20
0.65,0.39024390243902446,0.4117647058823529,0.539899846832669,0.7800437061799625,0.22849357946523363,1.0,0.5738831615120276,20
0.6428571428571428,0.33333333333333337,0.43529411764705883,0.42867383167143247,0.7804356191307605,0.7727701053109397,1.0,0.5532646048109967,20
0.5571428571428572,0.4308943089430895,0.45882352941176463,0.55184021947259,0.7737559160531953,0.1571412239841281,1.0,0.5601374570446737,20
0.6642857142857143,0.41463414634146345,0.36470588235294116,0.4302448981290634,0.7876187352378193,0.639448819159899,0.8607675495996214,0.577319587628866,20
0.6714285714285714,0.3658536585365854,0.3764705882352941,0.502302242113037,0.7711137661306771,0.6301059898443142,0.9875346199064076,0.5635738831615121,20
0.42857142857142855,0.34959349593495936,0.39999999999999997,0.4419040479067282,0.7668057795917309,0.6543488191298652,1.0,0.4467353951890035,20
0.6071428571428571,0.2682926829268293,0.4235294117647059,0.3242738563965989,0.7962857724612368,0.45037405160556077,1.0,0.5051546391752578,20
